State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,NOTIONAL_PHYSICAL,Location Type,Type Of Facility,Nin_N
Karnataka,Raichur,Manvi,sub_cen,MADLAPUR,NA,15.9377,77.0705,Y,Physical,Rural,Public,8386288115
Karnataka,Belgaum,Belgaum,sub_cen,KADOLI-B,NA,15.9383,74.4902,Y,Physical,Rural,Public,3234485583
Karnataka,Belgaum,Soundatti,sub_cen,TADASALUR,NA,15.9385,74.9066,Y,Physical,Rural,Public,3478557360
Karnataka,Bagalkote,Hunagund,sub_cen,BHEEMANAGHADA,NA,15.9386,75.8707,Y,Physical,Rural,Public,3838424137
Karnataka,Belgaum,Ramadurga,sub_cen,HANUMASAGAR,NA,15.9396,75.1607,Y,Physical,Rural,Public,2472773437
Karnataka,Raichur,Sindhanoor,sub_cen,UDDABAL,NA,15.9396,76.7151,Y,Physical,Rural,Public,8818557186
Karnataka,Bagalkote,Badami,sub_cen,SHIRABADAGI,NA,15.9424,75.7776,Y,Physical,Rural,Public,6388572577
Karnataka,Bagalkote,Hunagund,sub_cen,VADAGERI,NA,15.9424,75.9402,Y,Physical,Rural,Public,8866522868
Karnataka,Bagalkote,Badami,sub_cen,MAMATGERI,NA,15.944,75.5205,Y,Physical,Rural,Public,6838267653
Karnataka,Belgaum,Ramadurga,sub_cen,D.TORAGALLA,NA,15.9449,75.2206,Y,Physical,Rural,Public,4742343660
Karnataka,Belgaum,Bailahongala,sub_cen,HANABARATTI,NA,15.9455,74.7827,Y,Physical,Rural,Public,7222321551
Karnataka,Raichur,Manvi,sub_cen,KATARKI,NA,15.9457,77.1045,Y,Physical,Rural,Public,4464233461
Karnataka,Raichur,Manvi,sub_cen,TADKAL,NA,15.9459,76.8403,Y,Physical,Rural,Public,8657543859
Karnataka,Bagalkote,Badami,sub_cen,NANDIKESHWAR,NA,15.9471,75.7576,Y,Physical,Rural,Public,2343288755
Karnataka,Raichur,Manvi,sub_cen,JEENOOR,NA,15.9471,76.8836,Y,Physical,Rural,Public,6127687868
Karnataka,Bagalkote,Badami,sub_cen,PATTADKALL - A,NA,15.9481,75.801,Y,Physical,Rural,Public,2568371880
Karnataka,Raichur,Raichur,sub_cen,TALAMERI,NA,15.9487,77.5026,Y,Physical,Rural,Public,8586234810
Karnataka,Koppal,Kushtagi,sub_cen,KATAPURA,NA,15.9495,75.984,Y,Physical,Rural,Public,NA
Karnataka,Raichur,Lingsagur,sub_cen,MASKI-A,NA,15.9499,76.66,Y,Physical,Rural,Public,6684427567
Karnataka,Bagalkote,Badami,sub_cen,PATTADKALL - B,NA,15.9505,75.8194,Y,Physical,Rural,Public,1554632156
Karnataka,Belgaum,Soundatti,sub_cen,BUDIGOPPA,NA,15.9516,74.9668,Y,Physical,Rural,Public,3584385425
Karnataka,Belgaum,Belgaum,sub_cen,HONAGA,NA,15.9522,74.5167,Y,Physical,Rural,Public,1873758245
Karnataka,Bagalkote,Hunagund,sub_cen,HIREVOTAGERI,NA,15.9529,76.1995,Y,Physical,Rural,Public,8746217283
Karnataka,Belgaum,Ramadurga,sub_cen,HALAGATTI,NA,15.9533,75.3262,Y,Physical,Rural,Public,8827866214
Karnataka,Belgaum,Belgaum,sub_cen,TUMARAGUDDI,NA,15.9538,74.6663,Y,Physical,Rural,Public,8857124344
Karnataka,Bagalkote,Badami,sub_cen,ADAGAL,NA,15.9541,75.6732,Y,Physical,Rural,Public,3428676450
Karnataka,Raichur,Raichur,sub_cen,BULLAPUR,NA,15.9544,77.4022,Y,Physical,Rural,Public,4467364263
Karnataka,Belgaum,Belgaum,sub_cen,KEDHANURA,NA,15.9547,74.48,Y,Physical,Rural,Public,3435786425
